ppid,status,name,brand,stars,reviews,questions,answers,love,price,size,category,countries,stars1,stars2,stars3,stars4,stars5,discontinued
P122694,partial,Line Smoothing Concealer,Clinique,4.0989,657,22,68,10043,18.5,0.31 oz/ 9 mL,Makeup:Face:Concealer,JP:KR:NL:GB:DE:NO,28,41,76,205,307,FALSE
P122699,full,Aromatics Elixir,Clinique,4.32,175,1,2,1590,54,1.5 oz/ 45 mL,Fragrance:Women:Perfume,JP:KR:NL:GB:DE:NO,18,8,6,11,132,FALSE
P122707,full,Antiperspirant-Deodorant Roll-On,Clinique,,,,,,,,,,0,0,0,0,0,TRUE
P122710,full,Face Soap With Dish,Clinique,4.4348,23,2,1,785,14.5,5.2 oz/ 147 g,Men:Skincare:Face Wash,JP:KR:NL:GB:DE:NO,0,0,3,7,13,FALSE
P122718,partial,Exfoliating Scrub,Clinique,4.7151,930,39,192,18752,21,3.4 oz/ 100 mL,Skincare:Cleansers:Exfoliators,JP:KR:NL:GB:DE:NO,15,15,16,128,756,FALSE
P122722,full,Different Lipstick,Clinique,4.4942,433,16,31,7018,17,,Makeup:Lip:Lipstick,JP:KR:NL:GB:DE:NO,8,12,28,95,290,FALSE
P122727,full,Repairwear Anti-Gravity Eye Lift Cream,Clinique,4.1743,241,23,44,6481,41,0.5 oz/ 15 mL,Skincare:Eye Care:Eye Creams & Treatments,JP:KR:NL:GB:DE:NO,10,14,25,67,125,FALSE
P122732,full,Wash-Away Gel Cleanser,Clinique,,,,,,,,,,0,0,0,0,0,TRUE
P122733,full,Touch Base for Eyes,Clinique,,,,,,,,,,0,0,0,0,0,TRUE
P122735,partial,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",Clinique,4.5691,2107,25,182,38943,19,4.2 oz/ 125 mL,Makeup:Accessories:Makeup Removers,JP:KR:NL:GB:DE:NO,42,50,114,362,1539,FALSE
P122736,partial,Superpowder Double Face Makeup,Clinique,4.3417,600,73,82,11156,24,0.35 oz/ 10.5 g,Makeup:Face:Foundation,JP:KR:NL:GB:DE:NO,17,32,38,155,358,FALSE
P122739,full,Superbalm Lip Treatment,Clinique,4.3024,205,10,25,5010,16.5,.25 oz,Makeup:Lip:Lip Balm & Treatment,JP:KR:NL:GB:DE:CA:NO,7,16,18,31,133,FALSE
P122740,partial,Superbalanced Makeup,Clinique,4.2105,836,117,116,12237,25,1 oz/ 30 mL,Makeup:Face:Foundation,JP:KR:NL:GB:DE:NO,31,40,96,224,445,FALSE
P122748,partial,Stay-Matte Sheer Pressed Powder,Clinique,4.3434,1232,125,202,21421,25,,Makeup:Face:Foundation,JP:KR:NL:GB:DE:NO,49,42,91,305,745,FALSE
P122749,full,Sparkle Skin Body Exfoliator,Clinique,4.4338,136,11,20,4530,26.5,6.7 oz/ 200 mL,Bath & Body:Bath & Shower:Scrub & Exfoliants,JP:KR:NL:GB:DE:NO,3,7,6,32,88,FALSE
P122750,full,Soft-Pressed Powder Blusher,Clinique,4.0879,91,15,11,2073,23,,Makeup:Cheek:Blush,JP:KR:NL:GB:DE:CA:NO,5,7,9,24,46,FALSE
P122751,partial,Almost Lipstick,Clinique,4.416,3053,36,245,38405,17,0.07 oz,Makeup:Lip:Lipstick,JP:KR:NL:GB:DE:NO,77,126,233,631,1987,FALSE
P122761,full,Exfoliating Tonic,Clinique,4.5778,45,4,7,1502,14,6.7 oz,Men:Skincare:Moisturizer & Treatments,JP:KR:NL:GB:DE:NO,1,0,3,9,32,FALSE
P122762,partial,Rinse-Off Foaming Cleanser,Clinique,4.571,683,12,79,8187,20,5 oz/ 150 mL,Skincare:Cleansers:Face Wash & Cleansers,JP:KR:NL:GB:DE:NO,21,18,24,105,514,FALSE
P122763,full,Rinse-Off Eye Makeup Solvent,Clinique,4.3058,484,8,57,4757,19,4.2 oz/ 125 mL,Makeup:Accessories:Makeup Removers,JP:KR:NL:GB:DE:NO,38,22,25,68,331,FALSE
P122764,full,Quickliner for Lips,Clinique,4.3644,247,24,23,6562,17,,Makeup:Lip:Lip Liner,JP:KR:NL:GB:DE:NO,14,7,19,42,165,FALSE
P122765,partial,Quickliner for Eyes,Clinique,4.2963,1475,42,132,14122,17,0.01 oz/ 0.28 g,Makeup:Eye:Eyeliner,JP:KR:NL:GB:DE:NO,70,63,118,333,891,FALSE
P122767,full,All About Lips,Clinique,4.0774,155,10,46,4188,23.5,0.41 oz/ 12 mL,Skincare:Lip Treatments:Lip Balms & Treatments,JP:KR:NL:GB:DE:NO,12,8,17,37,81,FALSE
P122770,full,Post-Shave Soother,Clinique,4.8056,36,6,9,1408,20,2.5 oz/ 75 mL,Men:Shaving:Aftershave,JP:KR:NL:GB:DE:NO,0,1,0,4,31,FALSE
P122772,full,Non-Streak Bronzer,Clinique,4.4706,51,7,32,674,19,2 oz/ 60 mL,Bath & Body:Self Tanners,JP:KR:NL:GB:DE:NO,4,2,1,3,41,FALSE
P122774,partial,All About Eyes,Clinique,4.0813,1439,64,217,18958,32,0.5 oz/ 15 mL,Skincare:Eye Care:Eye Creams & Treatments,JP:KR:NL:GB:DE:NO,86,90,160,388,715,FALSE
P122782,full,Repairwear Intensive Lip Treatment,Clinique,4.3192,213,7,50,7770,28,0.14 oz/ 4 g,Skincare:Lip Treatments:Lip Balms & Treatments,JP:KR:NL:GB:DE:NO,7,14,18,39,135,FALSE
P122806,full,Broad Spectrum SPF 21 Moisturizer,Clinique,4.3871,62,6,9,1599,26,3.4 oz/ 100 mL,Men:Skincare:Moisturizer & Treatments,JP:KR:NL:GB:DE:NO,1,1,5,21,34,FALSE
P122807,full,True Bronze Pressed Powder Bronzer,Clinique,4.5611,221,23,69,5034,27.5,,Makeup:Cheek:Bronzer,JP:KR:NL:GB:DE:NO,4,8,11,35,163,FALSE
P122809,full,Moisturizing Lotion,Clinique,4.5143,35,2,3,1005,27,3.4 oz/ 100 mL,Men:Skincare:Moisturizer & Treatments,JP:KR:NL:GB:DE:NO,1,1,1,8,24,FALSE
P122810,full,Maximum Hydrator,Clinique,4.619,42,6,3,1837,34,1.7 oz/ 50 mL,Men:Skincare:Moisturizer & Treatments,JP:KR:NL:GB:DE:NO,1,1,1,7,32,FALSE
P122834,partial,Lash Doubling Mascara,Clinique,4.0491,652,9,41,6370,17.5,0.28 oz/ 8 mL,Makeup:Eye:Mascara,JP:KR:NL:GB:DE:NO,43,48,75,154,332,FALSE
P122863,full,Perfectly Real™ Makeup,Clinique,,,,,,,,,,0,0,0,0,0,TRUE
P122866,partial,Lash Building Primer,Clinique,4.3058,641,17,151,12412,16.5,,Makeup:Eye:Mascara,JP:KR:NL:GB:DE:NO,32,27,57,122,403,FALSE
P122868,partial,Superfine Liner for Brows,Clinique,4.3759,540,16,42,6990,17,0.002 oz/ 0.056 g,Makeup:Eye:Eyebrow,JP:KR:NL:GB:DE:NO,21,20,39,115,345,FALSE
P122876,full,Clarifying Lotion 4,Clinique,4.3889,198,10,47,3057,14.5,6.7 oz/ 200 mL,Skincare:Cleansers:Toners,JP:KR:NL:GB:DE:NO,7,6,15,45,125,FALSE
P122881,partial,Clarifying Lotion 3,Clinique,4.3494,724,25,89,11414,14.5,6.7 oz/ 200 mL,Skincare:Cleansers:Toners,JP:KR:NL:GB:DE:NO,32,29,45,166,452,FALSE
P122882,partial,Clarifying Lotion 2,Clinique,4.4079,1091,35,156,18352,14.5,6.7 oz/ 200 mL,Skincare:Cleansers:Toners,JP:KR:NL:GB:DE:NO,52,38,61,202,738,FALSE
P122897,full,Repairwear Intensive Night Cream Very Dry Skin Formula,Clinique,,,,,,,,,,0,0,0,0,0,TRUE
